tex,Name,Can_Evolve,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,TRUE,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,TRUE,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,FALSE,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
3,VenusaurMega,FALSE,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
4,Charmander,TRUE,Fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,TRUE,Fire,,405,58,64,58,80,65,80,1,FALSE
6,Charizard,FALSE,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
6,CharizardMegaX,FALSE,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
6,CharizardMegaY,FALSE,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
7,Squirtle,TRUE,Water,,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,TRUE,Water,,405,59,63,80,65,80,58,1,FALSE
9,Blastoise,FALSE,Water,,530,79,83,100,85,105,78,1,FALSE
9,BlastoiseMega,FALSE,Water,,630,79,103,120,135,115,78,1,FALSE
10,Caterpie,TRUE,Bug,,195,45,30,35,20,20,45,1,FALSE
11,Metapod,TRUE,Bug,,205,50,20,55,25,25,30,1,FALSE
12,Butterfree,FALSE,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
13,Weedle,TRUE,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
14,Kakuna,TRUE,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
15,Beedrill,FALSE,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
15,BeedrillMega,FALSE,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
16,Pidgey,TRUE,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
17,Pidgeotto,TRUE,Normal,Flying,349,63,60,55,50,50,71,1,FALSE
18,Pidgeot,FALSE,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
18,PidgeotMega,FALSE,Normal,Flying,579,83,80,80,135,80,121,1,FALSE
19,Rattata,TRUE,Normal,,253,30,56,35,25,35,72,1,FALSE
19,RattataAlola,TRUE,Dark,Normal,253,30,56,35,25,35,72,7,FALSE
20,Raticate,FALSE,Normal,,413,55,81,60,50,70,97,1,FALSE
20,RaticateAlola,FALSE,Dark,Normal,413,75,71,70,40,80,77,7,FALSE
21,Spearow,TRUE,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
22,Fearow,FALSE,Normal,Flying,442,65,90,65,61,61,100,1,FALSE
23,Ekans,TRUE,Poison,,288,35,60,44,40,54,55,1,FALSE
24,Arbok,FALSE,Poison,,438,60,85,69,65,79,80,1,FALSE
25,Pikachu,TRUE,Electric,,320,35,55,40,50,50,90,1,FALSE
26,Raichu,FALSE,Electric,,485,60,90,55,90,80,110,1,FALSE
26,RaichuAlola,FALSE,Electric,Psychic,485,60,85,50,95,85,110,7,FALSE
27,Sandshrew,TRUE,Ground,,300,50,75,85,20,30,40,1,FALSE
27,SandshrewAlola,TRUE,Ice,Steel,300,50,75,90,10,35,40,7,FALSE
28,Sandslash,FALSE,Ground,,450,75,100,110,45,55,65,1,FALSE
28,SandslashAlola,FALSE,Ice,Steel,450,75,100,120,25,65,65,7,FALSE
29,NidoranF,TRUE,Poison,,275,55,47,52,40,40,41,1,FALSE
30,Nidorina,TRUE,Poison,,365,70,62,67,55,55,56,1,FALSE
31,Nidoqueen,FALSE,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
32,NidoranM,TRUE,Poison,,273,46,57,40,40,40,50,1,FALSE
33,Nidorino,TRUE,Poison,,365,61,72,57,55,55,65,1,FALSE
34,Nidoking,FALSE,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
35,Clefairy,TRUE,Fairy,,323,70,45,48,60,65,35,1,FALSE
36,Clefable,FALSE,Fairy,,483,95,70,73,95,90,60,1,FALSE
37,Vulpix,TRUE,Fire,,299,38,41,40,50,65,65,1,FALSE
37,VulpixAlola,TRUE,Ice,,299,38,41,40,50,65,65,7,FALSE
38,Ninetales,FALSE,Fire,,505,73,76,75,81,100,100,1,FALSE
38,NinetalesAlola,FALSE,Ice,Fairy,505,73,67,75,81,100,109,7,FALSE
39,Jigglypuff,TRUE,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE
40,Wigglytuff,FALSE,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
41,Zubat,TRUE,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
42,Golbat,TRUE,Poison,Flying,455,75,80,70,65,75,90,1,FALSE
43,Oddish,TRUE,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
44,Gloom,TRUE,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
45,Vileplume,FALSE,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
46,Paras,TRUE,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
47,Parasect,FALSE,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
48,Venonat,TRUE,Bug,Poison,305,60,55,50,40,55,45,1,FALSE
49,Venomoth,FALSE,Bug,Poison,450,70,65,60,90,75,90,1,FALSE
50,Diglett,TRUE,Ground,,265,10,55,25,35,45,95,1,FALSE
